feature,importance
fare_per_min,0.2811576999227621
fare_per_km,0.27136942952358073
Payment Method_Unknown,0.22697761667539487
Payment Method_UPI,0.044535944022396606
day,0.03205599970019462
month_num,0.02384530662563657
hour,0.021138901110511567
pickup_hour,0.020906467693348967
Payment Method_Cash,0.020653421551838407
pickup_weekday_num,0.014883184831989147
Payment Method_Uber Wallet,0.00852150067547359
Payment Method_Credit Card,0.006846277039292606
Payment Method_Debit Card,0.005729342466333676
VehicleType_Group_Auto,0.0037534547267239946
VehicleType_Group_Go Mini,0.0034783071781607647
VehicleType_Group_Go Sedan,0.003224321563750375
VehicleType_Group_Bike,0.0028700152277400842
VehicleType_Group_Premier Sedan,0.0025670495158805224
VehicleType_Group_eBike,0.00220051773521208
Is_Weekend,0.0019861607356819787
VehicleType_Group_Uber XL,0.0012990814780966396
